model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_minus_1,n_true_minus_1,n_pred_0,n_true_0,n_pred_1,n_true_1
logit,multiclass,logit_multiclass,win_01,train,0.7472178060413355,1258.0,0.0,171.0,1258.0,940.0,0.0,147.0
logit,multiclass,logit_multiclass,win_01,val,0.7936507936507936,63.0,0.0,4.0,63.0,50.0,0.0,9.0
logit,multiclass,logit_multiclass,win_01,test,0.7540983606557377,61.0,0.0,7.0,61.0,46.0,0.0,8.0
logit,multiclass,logit_multiclass,win_02,train,0.7503974562798092,1258.0,0.0,165.0,1258.0,944.0,0.0,149.0
logit,multiclass,logit_multiclass,win_02,val,0.7377049180327869,61.0,0.0,8.0,61.0,45.0,0.0,8.0
logit,multiclass,logit_multiclass,win_02,test,0.8153846153846154,65.0,0.0,6.0,65.0,53.0,0.0,6.0
logit,multiclass,logit_multiclass,win_03,train,0.7462211614956245,1257.0,0.0,167.0,1257.0,938.0,0.0,152.0
logit,multiclass,logit_multiclass,win_03,val,0.8153846153846154,65.0,0.0,6.0,65.0,53.0,0.0,6.0
logit,multiclass,logit_multiclass,win_03,test,0.921875,64.0,0.0,1.0,64.0,59.0,0.0,4.0
logit,multiclass,logit_multiclass,win_04,train,0.7408585055643879,1258.0,0.0,169.0,1258.0,932.0,0.0,157.0
logit,multiclass,logit_multiclass,win_04,val,0.921875,64.0,0.0,1.0,64.0,59.0,0.0,4.0
logit,multiclass,logit_multiclass,win_04,test,0.8412698412698413,63.0,0.0,2.0,63.0,53.0,0.0,8.0
logit,multiclass,logit_multiclass,win_05,train,0.7448330683624801,1258.0,0.0,167.0,1258.0,937.0,0.0,154.0
logit,multiclass,logit_multiclass,win_05,val,0.8412698412698413,63.0,0.0,2.0,63.0,53.0,0.0,8.0
logit,multiclass,logit_multiclass,win_05,test,0.7704918032786885,61.0,0.0,9.0,61.0,47.0,0.0,5.0
logit,multiclass,logit_multiclass,win_06,train,0.7488076311605724,1258.0,0.0,159.0,1258.0,942.0,0.0,157.0
logit,multiclass,logit_multiclass,win_06,val,0.7704918032786885,61.0,0.0,9.0,61.0,47.0,0.0,5.0
logit,multiclass,logit_multiclass,win_06,test,0.671875,64.0,0.0,11.0,64.0,43.0,0.0,10.0
logit,multiclass,logit_multiclass,win_07,train,0.7533810660302307,1257.0,0.0,155.0,1257.0,947.0,0.0,155.0
logit,multiclass,logit_multiclass,win_07,val,0.671875,64.0,0.0,11.0,64.0,43.0,0.0,10.0
