model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_0,n_true_0,n_pred_1,n_true_1
nn,binary,nn_binary,win_01,train,0.8434022257551669,1258.0,662.0,651.0,596.0,607.0
nn,binary,nn_binary,win_01,val,0.7301587301587301,63.0,26.0,27.0,37.0,36.0
nn,binary,nn_binary,win_01,test,0.5901639344262295,61.0,25.0,30.0,36.0,31.0
nn,binary,nn_binary,win_02,train,0.8744038155802861,1258.0,656.0,646.0,602.0,612.0
nn,binary,nn_binary,win_02,val,0.8524590163934426,61.0,31.0,30.0,30.0,31.0
nn,binary,nn_binary,win_02,test,0.5846153846153846,65.0,31.0,30.0,34.0,35.0
nn,binary,nn_binary,win_03,train,0.8806682577565632,1257.0,662.0,646.0,595.0,611.0
nn,binary,nn_binary,win_03,val,0.9076923076923077,65.0,28.0,30.0,37.0,35.0
nn,binary,nn_binary,win_03,test,0.515625,64.0,42.0,29.0,22.0,35.0
nn,binary,nn_binary,win_04,train,0.8664546899841018,1258.0,618.0,644.0,640.0,614.0
nn,binary,nn_binary,win_04,val,0.8125,64.0,27.0,29.0,37.0,35.0
nn,binary,nn_binary,win_04,test,0.5238095238095238,63.0,30.0,28.0,33.0,35.0
nn,binary,nn_binary,win_05,train,0.78060413354531,1258.0,636.0,638.0,622.0,620.0
nn,binary,nn_binary,win_05,val,0.8412698412698413,63.0,24.0,28.0,39.0,35.0
nn,binary,nn_binary,win_05,test,0.4426229508196721,61.0,1.0,33.0,60.0,28.0
nn,binary,nn_binary,win_06,train,0.8664546899841018,1258.0,617.0,631.0,641.0,627.0
nn,binary,nn_binary,win_06,val,0.9344262295081968,61.0,35.0,33.0,26.0,28.0
nn,binary,nn_binary,win_06,test,0.546875,64.0,30.0,33.0,34.0,31.0
nn,binary,nn_binary,win_07,train,0.9196499602227526,1257.0,617.0,632.0,640.0,625.0
nn,binary,nn_binary,win_07,val,0.953125,64.0,32.0,33.0,32.0,31.0
nn,binary,nn_binary,win_07,test,0.453125,64.0,53.0,28.0,11.0,36.0
nn,binary,nn_binary,win_08,train,0.9236276849642004,1257.0,657.0,635.0,600.0,622.0
nn,binary,nn_binary,win_08,val,0.9375,64.0,30.0,28.0,34.0,36.0
nn,binary,nn_binary,win_08,test,0.47619047619047616,63.0,39.0,30.0,24.0,33.0
nn,binary,nn_binary,win_09,train,0.7422434367541766,1257.0,625.0,629.0,632.0,628.0
nn,binary,nn_binary,win_09,val,0.746031746031746,63.0,36.0,30.0,27.0,33.0
nn,binary,nn_binary,win_09,test,0.4426229508196721,61.0,44.0,26.0,17.0,35.0
nn,binary,nn_binary,win_10,train,0.8872120730738682,1259.0,605.0,625.0,654.0,634.0
nn,binary,nn_binary,win_10,val,0.8360655737704918,61.0,22.0,26.0,39.0,35.0
nn,binary,nn_binary,win_10,test,0.484375,64.0,38.0,33.0,26.0,31.0
nn,binary,nn_binary,win_11,train,0.6092136616362193,1259.0,548.0,616.0,711.0,643.0
nn,binary,nn_binary,win_11,val,0.640625,64.0,36.0,33.0,28.0,31.0
nn,binary,nn_binary,win_11,test,0.34375,64.0,44.0,22.0,20.0,42.0
nn,binary,nn_binary,win_12,train,0.7696584590945195,1259.0,595.0,611.0,664.0,648.0
nn,binary,nn_binary,win_12,val,0.796875,64.0,21.0,22.0,43.0,42.0
nn,binary,nn_binary,win_12,test,0.45161290322580644,62.0,30.0,32.0,32.0,30.0
nn,binary,nn_binary,win_13,train,0.8347895154884829,1259.0,561.0,595.0,698.0,664.0
nn,binary,nn_binary,win_13,val,0.9354838709677419,62.0,32.0,32.0,30.0,30.0
nn,binary,nn_binary,win_13,test,0.47540983606557374,61.0,38.0,28.0,23.0,33.0
nn,binary,nn_binary,win_14,train,0.8314785373608903,1258.0,621.0,601.0,637.0,657.0
nn,binary,nn_binary,win_14,val,0.8032786885245902,61.0,24.0,28.0,37.0,33.0
nn,binary,nn_binary,win_14,test,0.5625,64.0,40.0,32.0,24.0,32.0
