model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_minus_1,n_true_minus_1,n_pred_0,n_true_0,n_pred_1,n_true_1
nn,multiclass,nn_multiclass,win_01,train,0.7480127186009539,1258.0,97.0,224.0,1070.0,841.0,91.0,193.0
nn,multiclass,nn_multiclass,win_01,val,0.7619047619047619,63.0,0.0,5.0,53.0,44.0,10.0,14.0
nn,multiclass,nn_multiclass,win_01,test,0.6065573770491803,61.0,0.0,13.0,61.0,37.0,0.0,11.0
nn,multiclass,nn_multiclass,win_02,train,0.8966613672496025,1258.0,189.0,216.0,893.0,847.0,176.0,195.0
nn,multiclass,nn_multiclass,win_02,val,0.8524590163934426,61.0,10.0,13.0,42.0,37.0,9.0,11.0
nn,multiclass,nn_multiclass,win_02,test,0.16923076923076924,65.0,30.0,6.0,11.0,49.0,24.0,10.0
nn,multiclass,nn_multiclass,win_03,train,0.8910103420843277,1257.0,108.0,167.0,1037.0,938.0,112.0,152.0
nn,multiclass,nn_multiclass,win_03,val,0.9692307692307692,65.0,6.0,6.0,54.0,53.0,5.0,6.0
nn,multiclass,nn_multiclass,win_03,test,0.75,64.0,13.0,1.0,50.0,59.0,1.0,4.0
nn,multiclass,nn_multiclass,win_04,train,0.739268680445151,1258.0,265.0,335.0,695.0,618.0,298.0,305.0
nn,multiclass,nn_multiclass,win_04,val,0.78125,64.0,2.0,6.0,53.0,43.0,9.0,15.0
nn,multiclass,nn_multiclass,win_04,test,0.4603174603174603,63.0,0.0,11.0,52.0,34.0,11.0,18.0
nn,multiclass,nn_multiclass,win_05,train,0.8640699523052464,1258.0,156.0,220.0,929.0,838.0,173.0,200.0
nn,multiclass,nn_multiclass,win_05,val,0.9206349206349206,63.0,3.0,5.0,52.0,47.0,8.0,11.0
nn,multiclass,nn_multiclass,win_05,test,0.22950819672131148,61.0,1.0,11.0,19.0,44.0,41.0,6.0
nn,multiclass,nn_multiclass,win_06,train,0.760731319554849,1258.0,21.0,159.0,1223.0,942.0,14.0,157.0
nn,multiclass,nn_multiclass,win_06,val,0.7704918032786885,61.0,1.0,9.0,60.0,47.0,0.0,5.0
nn,multiclass,nn_multiclass,win_06,test,0.671875,64.0,0.0,11.0,64.0,43.0,0.0,10.0
nn,multiclass,nn_multiclass,win_07,train,0.8233890214797136,1257.0,257.0,319.0,723.0,630.0,277.0,308.0
nn,multiclass,nn_multiclass,win_07,val,0.890625,64.0,14.0,17.0,35.0,30.0,15.0,17.0
nn,multiclass,nn_multiclass,win_07,test,0.546875,64.0,10.0,13.0,53.0,37.0,1.0,14.0
nn,multiclass,nn_multiclass,win_08,train,0.7247414478918058,1257.0,232.0,322.0,734.0,623.0,291.0,312.0
nn,multiclass,nn_multiclass,win_08,val,0.75,64.0,9.0,13.0,45.0,37.0,10.0,14.0
nn,multiclass,nn_multiclass,win_08,test,0.36507936507936506,63.0,38.0,14.0,25.0,32.0,0.0,17.0
nn,multiclass,nn_multiclass,win_09,train,0.711217183770883,1257.0,60.0,213.0,1139.0,838.0,58.0,206.0
nn,multiclass,nn_multiclass,win_09,val,0.746031746031746,63.0,3.0,7.0,60.0,46.0,0.0,10.0
nn,multiclass,nn_multiclass,win_09,test,0.6885245901639344,61.0,0.0,7.0,61.0,42.0,0.0,12.0
nn,multiclass,nn_multiclass,win_10,train,0.7680698967434472,1259.0,95.0,208.0,1041.0,842.0,123.0,209.0
nn,multiclass,nn_multiclass,win_10,val,0.7704918032786885,61.0,2.0,7.0,54.0,42.0,5.0,12.0
nn,multiclass,nn_multiclass,win_10,test,0.4375,64.0,21.0,14.0,33.0,41.0,10.0,9.0
nn,multiclass,nn_multiclass,win_11,train,0.5329626687847498,1259.0,108.0,307.0,1073.0,630.0,78.0,322.0
nn,multiclass,nn_multiclass,win_11,val,0.453125,64.0,9.0,17.0,53.0,31.0,2.0,16.0
nn,multiclass,nn_multiclass,win_11,test,0.28125,64.0,24.0,13.0,38.0,25.0,2.0,26.0
nn,multiclass,nn_multiclass,win_12,train,0.8387609213661636,1259.0,188.0,244.0,851.0,762.0,220.0,253.0
nn,multiclass,nn_multiclass,win_12,val,0.90625,64.0,8.0,11.0,36.0,32.0,20.0,21.0
nn,multiclass,nn_multiclass,win_12,test,0.4032258064516129,62.0,11.0,26.0,49.0,22.0,2.0,14.0
nn,multiclass,nn_multiclass,win_13,train,0.5996822875297856,1259.0,171.0,283.0,878.0,642.0,210.0,334.0
nn,multiclass,nn_multiclass,win_13,val,0.6774193548387096,62.0,32.0,26.0,19.0,18.0,11.0,18.0
nn,multiclass,nn_multiclass,win_13,test,0.39344262295081966,61.0,40.0,17.0,4.0,20.0,17.0,24.0
nn,multiclass,nn_multiclass,win_14,train,0.8362480127186009,1258.0,142.0,198.0,950.0,852.0,166.0,208.0
nn,multiclass,nn_multiclass,win_14,val,0.8360655737704918,61.0,10.0,11.0,34.0,32.0,17.0,18.0
nn,multiclass,nn_multiclass,win_14,test,0.640625,64.0,3.0,9.0,58.0,47.0,3.0,8.0
nn,multiclass,nn_multiclass,win_15,train,0.6812400635930048,1258.0,25.0,201.0,1203.0,839.0,30.0,218.0
nn,multiclass,nn_multiclass,win_15,val,0.734375,64.0,0.0,9.0,64.0,47.0,0.0,8.0
nn,multiclass,nn_multiclass,win_15,test,0.515625,64.0,9.0,12.0,43.0,42.0,12.0,10.0
nn,multiclass,nn_multiclass,win_16,train,0.7480127186009539,1258.0,237.0,293.0,721.0,624.0,300.0,341.0
nn,multiclass,nn_multiclass,win_16,val,0.75,64.0,16.0,16.0,38.0,37.0,10.0,11.0
nn,multiclass,nn_multiclass,win_16,test,0.3333333333333333,63.0,12.0,16.0,22.0,35.0,29.0,12.0
nn,multiclass,nn_multiclass,win_17,train,0.868943606036537,1259.0,212.0,245.0,813.0,752.0,234.0,262.0
nn,multiclass,nn_multiclass,win_17,val,0.873015873015873,63.0,9.0,13.0,47.0,41.0,7.0,9.0
nn,multiclass,nn_multiclass,win_17,test,0.2903225806451613,62.0,16.0,22.0,16.0,24.0,30.0,16.0
nn,multiclass,nn_multiclass,win_18,train,0.767275615567911,1259.0,10.0,138.0,1247.0,961.0,2.0,160.0
nn,multiclass,nn_multiclass,win_18,val,0.5806451612903226,62.0,10.0,20.0,50.0,29.0,2.0,13.0
nn,multiclass,nn_multiclass,win_18,test,0.6031746031746031,63.0,0.0,17.0,63.0,38.0,0.0,8.0
nn,multiclass,nn_multiclass,win_19,train,0.6521048451151708,1259.0,95.0,249.0,1082.0,763.0,82.0,247.0
nn,multiclass,nn_multiclass,win_19,val,0.6507936507936508,63.0,16.0,19.0,41.0,30.0,6.0,14.0
nn,multiclass,nn_multiclass,win_19,test,0.42857142857142855,63.0,0.0,23.0,63.0,27.0,0.0,13.0
nn,multiclass,nn_multiclass,win_20,train,0.6211278792692613,1259.0,193.0,295.0,887.0,642.0,179.0,322.0
