model_name,class_type,model_id,window_id,split,actual_label,pred_0,pred_1
logit,binary,logit_binary,win_01,train,actual_0,384,267
logit,binary,logit_binary,win_01,train,actual_1,315,292
logit,binary,logit_binary,win_01,val,actual_0,18,9
logit,binary,logit_binary,win_01,val,actual_1,20,16
logit,binary,logit_binary,win_01,test,actual_0,7,23
logit,binary,logit_binary,win_01,test,actual_1,9,22
logit,binary,logit_binary,win_02,train,actual_0,374,272
logit,binary,logit_binary,win_02,train,actual_1,310,302
logit,binary,logit_binary,win_02,val,actual_0,7,23
logit,binary,logit_binary,win_02,val,actual_1,3,28
logit,binary,logit_binary,win_02,test,actual_0,16,14
logit,binary,logit_binary,win_02,test,actual_1,14,21
logit,binary,logit_binary,win_03,train,actual_0,379,267
logit,binary,logit_binary,win_03,train,actual_1,311,300
logit,binary,logit_binary,win_03,val,actual_0,17,13
logit,binary,logit_binary,win_03,val,actual_1,16,19
logit,binary,logit_binary,win_03,test,actual_0,21,8
logit,binary,logit_binary,win_03,test,actual_1,26,9
logit,binary,logit_binary,win_04,train,actual_0,375,269
logit,binary,logit_binary,win_04,train,actual_1,315,299
logit,binary,logit_binary,win_04,val,actual_0,5,24
logit,binary,logit_binary,win_04,val,actual_1,2,33
logit,binary,logit_binary,win_04,test,actual_0,21,7
logit,binary,logit_binary,win_04,test,actual_1,21,14
logit,binary,logit_binary,win_05,train,actual_0,335,303
logit,binary,logit_binary,win_05,train,actual_1,268,352
logit,binary,logit_binary,win_05,val,actual_0,12,16
logit,binary,logit_binary,win_05,val,actual_1,7,28
logit,binary,logit_binary,win_05,test,actual_0,0,33
logit,binary,logit_binary,win_05,test,actual_1,0,28
logit,binary,logit_binary,win_06,train,actual_0,316,315
logit,binary,logit_binary,win_06,train,actual_1,258,369
logit,binary,logit_binary,win_06,val,actual_0,1,32
logit,binary,logit_binary,win_06,val,actual_1,1,27
logit,binary,logit_binary,win_06,test,actual_0,11,22
logit,binary,logit_binary,win_06,test,actual_1,11,20
logit,binary,logit_binary,win_07,train,actual_0,275,357
logit,binary,logit_binary,win_07,train,actual_1,221,404
logit,binary,logit_binary,win_07,val,actual_0,15,18
logit,binary,logit_binary,win_07,val,actual_1,14,17
logit,binary,logit_binary,win_07,test,actual_0,9,19
logit,binary,logit_binary,win_07,test,actual_1,13,23
logit,binary,logit_binary,win_08,train,actual_0,278,357
logit,binary,logit_binary,win_08,train,actual_1,217,405
logit,binary,logit_binary,win_08,val,actual_0,5,23
logit,binary,logit_binary,win_08,val,actual_1,5,31
logit,binary,logit_binary,win_08,test,actual_0,12,18
logit,binary,logit_binary,win_08,test,actual_1,15,18
logit,binary,logit_binary,win_09,train,actual_0,257,372
logit,binary,logit_binary,win_09,train,actual_1,203,425
logit,binary,logit_binary,win_09,val,actual_0,9,21
logit,binary,logit_binary,win_09,val,actual_1,7,26
logit,binary,logit_binary,win_09,test,actual_0,16,10
logit,binary,logit_binary,win_09,test,actual_1,25,10
logit,binary,logit_binary,win_10,train,actual_0,204,421
logit,binary,logit_binary,win_10,train,actual_1,156,478
logit,binary,logit_binary,win_10,val,actual_0,3,23
logit,binary,logit_binary,win_10,val,actual_1,2,33
logit,binary,logit_binary,win_10,test,actual_0,3,30
logit,binary,logit_binary,win_10,test,actual_1,4,27
logit,binary,logit_binary,win_11,train,actual_0,191,425
logit,binary,logit_binary,win_11,train,actual_1,159,484
logit,binary,logit_binary,win_11,val,actual_0,14,19
logit,binary,logit_binary,win_11,val,actual_1,13,18
logit,binary,logit_binary,win_11,test,actual_0,10,12
logit,binary,logit_binary,win_11,test,actual_1,11,31
logit,binary,logit_binary,win_12,train,actual_0,184,427
logit,binary,logit_binary,win_12,train,actual_1,156,492
logit,binary,logit_binary,win_12,val,actual_0,4,18
logit,binary,logit_binary,win_12,val,actual_1,3,39
logit,binary,logit_binary,win_12,test,actual_0,18,14
logit,binary,logit_binary,win_12,test,actual_1,18,12
logit,binary,logit_binary,win_13,train,actual_0,166,429
logit,binary,logit_binary,win_13,train,actual_1,154,510
logit,binary,logit_binary,win_13,val,actual_0,9,23
logit,binary,logit_binary,win_13,val,actual_1,11,19
logit,binary,logit_binary,win_13,test,actual_0,17,11
logit,binary,logit_binary,win_13,test,actual_1,20,13
logit,binary,logit_binary,win_14,train,actual_0,130,471
logit,binary,logit_binary,win_14,train,actual_1,113,544
