model_name,class_type,model_id,window_id,split,actual_label,pred_0,pred_1
nn,binary,nn_binary,win_01,train,actual_0,558,93
nn,binary,nn_binary,win_01,train,actual_1,104,503
nn,binary,nn_binary,win_01,val,actual_0,18,9
nn,binary,nn_binary,win_01,val,actual_1,8,28
nn,binary,nn_binary,win_01,test,actual_0,15,15
nn,binary,nn_binary,win_01,test,actual_1,10,21
nn,binary,nn_binary,win_02,train,actual_0,572,74
nn,binary,nn_binary,win_02,train,actual_1,84,528
nn,binary,nn_binary,win_02,val,actual_0,26,4
nn,binary,nn_binary,win_02,val,actual_1,5,26
nn,binary,nn_binary,win_02,test,actual_0,17,13
nn,binary,nn_binary,win_02,test,actual_1,14,21
nn,binary,nn_binary,win_03,train,actual_0,579,67
nn,binary,nn_binary,win_03,train,actual_1,83,528
nn,binary,nn_binary,win_03,val,actual_0,26,4
nn,binary,nn_binary,win_03,val,actual_1,2,33
nn,binary,nn_binary,win_03,test,actual_0,20,9
nn,binary,nn_binary,win_03,test,actual_1,22,13
nn,binary,nn_binary,win_04,train,actual_0,547,97
nn,binary,nn_binary,win_04,train,actual_1,71,543
nn,binary,nn_binary,win_04,val,actual_0,22,7
nn,binary,nn_binary,win_04,val,actual_1,5,30
nn,binary,nn_binary,win_04,test,actual_0,14,14
nn,binary,nn_binary,win_04,test,actual_1,16,19
nn,binary,nn_binary,win_05,train,actual_0,499,139
nn,binary,nn_binary,win_05,train,actual_1,137,483
nn,binary,nn_binary,win_05,val,actual_0,21,7
nn,binary,nn_binary,win_05,val,actual_1,3,32
nn,binary,nn_binary,win_05,test,actual_0,0,33
nn,binary,nn_binary,win_05,test,actual_1,1,27
nn,binary,nn_binary,win_06,train,actual_0,540,91
nn,binary,nn_binary,win_06,train,actual_1,77,550
nn,binary,nn_binary,win_06,val,actual_0,32,1
nn,binary,nn_binary,win_06,val,actual_1,3,25
nn,binary,nn_binary,win_06,test,actual_0,17,16
nn,binary,nn_binary,win_06,test,actual_1,13,18
nn,binary,nn_binary,win_07,train,actual_0,574,58
nn,binary,nn_binary,win_07,train,actual_1,43,582
nn,binary,nn_binary,win_07,val,actual_0,31,2
nn,binary,nn_binary,win_07,val,actual_1,1,30
nn,binary,nn_binary,win_07,test,actual_0,23,5
nn,binary,nn_binary,win_07,test,actual_1,30,6
nn,binary,nn_binary,win_08,train,actual_0,598,37
nn,binary,nn_binary,win_08,train,actual_1,59,563
nn,binary,nn_binary,win_08,val,actual_0,27,1
nn,binary,nn_binary,win_08,val,actual_1,3,33
nn,binary,nn_binary,win_08,test,actual_0,18,12
nn,binary,nn_binary,win_08,test,actual_1,21,12
nn,binary,nn_binary,win_09,train,actual_0,465,164
nn,binary,nn_binary,win_09,train,actual_1,160,468
nn,binary,nn_binary,win_09,val,actual_0,25,5
nn,binary,nn_binary,win_09,val,actual_1,11,22
nn,binary,nn_binary,win_09,test,actual_0,18,8
nn,binary,nn_binary,win_09,test,actual_1,26,9
nn,binary,nn_binary,win_10,train,actual_0,544,81
nn,binary,nn_binary,win_10,train,actual_1,61,573
nn,binary,nn_binary,win_10,val,actual_0,19,7
nn,binary,nn_binary,win_10,val,actual_1,3,32
nn,binary,nn_binary,win_10,test,actual_0,19,14
nn,binary,nn_binary,win_10,test,actual_1,19,12
nn,binary,nn_binary,win_11,train,actual_0,336,280
nn,binary,nn_binary,win_11,train,actual_1,212,431
nn,binary,nn_binary,win_11,val,actual_0,23,10
nn,binary,nn_binary,win_11,val,actual_1,13,18
nn,binary,nn_binary,win_11,test,actual_0,12,10
nn,binary,nn_binary,win_11,test,actual_1,32,10
nn,binary,nn_binary,win_12,train,actual_0,458,153
nn,binary,nn_binary,win_12,train,actual_1,137,511
nn,binary,nn_binary,win_12,val,actual_0,15,7
nn,binary,nn_binary,win_12,val,actual_1,6,36
nn,binary,nn_binary,win_12,test,actual_0,14,18
nn,binary,nn_binary,win_12,test,actual_1,16,14
nn,binary,nn_binary,win_13,train,actual_0,474,121
nn,binary,nn_binary,win_13,train,actual_1,87,577
nn,binary,nn_binary,win_13,val,actual_0,30,2
nn,binary,nn_binary,win_13,val,actual_1,2,28
nn,binary,nn_binary,win_13,test,actual_0,17,11
nn,binary,nn_binary,win_13,test,actual_1,21,12
nn,binary,nn_binary,win_14,train,actual_0,505,96
nn,binary,nn_binary,win_14,train,actual_1,116,541
nn,binary,nn_binary,win_14,val,actual_0,20,8
nn,binary,nn_binary,win_14,val,actual_1,4,29
nn,binary,nn_binary,win_14,test,actual_0,22,10
nn,binary,nn_binary,win_14,test,actual_1,18,14
nn,binary,nn_binary,win_15,train,actual_0,238,360
nn,binary,nn_binary,win_15,train,actual_1,176,484
nn,binary,nn_binary,win_15,val,actual_0,25,7
nn,binary,nn_binary,win_15,val,actual_1,22,10
nn,binary,nn_binary,win_15,test,actual_0,24,10
nn,binary,nn_binary,win_15,test,actual_1,22,8
nn,binary,nn_binary,win_16,train,actual_0,528,69
nn,binary,nn_binary,win_16,train,actual_1,58,603
nn,binary,nn_binary,win_16,val,actual_0,29,5
nn,binary,nn_binary,win_16,val,actual_1,1,29
nn,binary,nn_binary,win_16,test,actual_0,15,20
nn,binary,nn_binary,win_16,test,actual_1,16,12
nn,binary,nn_binary,win_17,train,actual_0,399,199
nn,binary,nn_binary,win_17,train,actual_1,187,474
nn,binary,nn_binary,win_17,val,actual_0,30,5
nn,binary,nn_binary,win_17,val,actual_1,19,9
nn,binary,nn_binary,win_17,test,actual_0,22,8
nn,binary,nn_binary,win_17,test,actual_1,27,5
nn,binary,nn_binary,win_18,train,actual_0,329,280
nn,binary,nn_binary,win_18,train,actual_1,205,445
nn,binary,nn_binary,win_18,val,actual_0,22,8
nn,binary,nn_binary,win_18,val,actual_1,17,15
nn,binary,nn_binary,win_18,test,actual_0,15,18
nn,binary,nn_binary,win_18,test,actual_1,13,17
nn,binary,nn_binary,win_19,train,actual_0,497,112
nn,binary,nn_binary,win_19,train,actual_1,100,550
nn,binary,nn_binary,win_19,val,actual_0,28,5
nn,binary,nn_binary,win_19,val,actual_1,4,26
nn,binary,nn_binary,win_19,test,actual_0,21,14
nn,binary,nn_binary,win_19,test,actual_1,15,13
nn,binary,nn_binary,win_20,train,actual_0,393,212
nn,binary,nn_binary,win_20,train,actual_1,171,483
nn,binary,nn_binary,win_20,val,actual_0,27,8
nn,binary,nn_binary,win_20,val,actual_1,4,24
nn,binary,nn_binary,win_20,test,actual_0,21,16
nn,binary,nn_binary,win_20,test,actual_1,16,10
nn,binary,nn_binary,win_21,train,actual_0,566,42
nn,binary,nn_binary,win_21,train,actual_1,61,590
nn,binary,nn_binary,win_21,val,actual_0,37,0
nn,binary,nn_binary,win_21,val,actual_1,2,24
nn,binary,nn_binary,win_21,test,actual_0,23,7
nn,binary,nn_binary,win_21,test,actual_1,24,8
nn,binary,nn_binary,win_22,train,actual_0,347,271
nn,binary,nn_binary,win_22,train,actual_1,228,413
nn,binary,nn_binary,win_22,val,actual_0,19,11
nn,binary,nn_binary,win_22,val,actual_1,11,21
nn,binary,nn_binary,win_22,test,actual_0,5,23
nn,binary,nn_binary,win_22,test,actual_1,14,21
nn,binary,nn_binary,win_23,train,actual_0,459,159
nn,binary,nn_binary,win_23,train,actual_1,149,493
nn,binary,nn_binary,win_23,val,actual_0,17,11
nn,binary,nn_binary,win_23,val,actual_1,3,32
nn,binary,nn_binary,win_23,test,actual_0,11,17
nn,binary,nn_binary,win_23,test,actual_1,13,23
nn,binary,nn_binary,win_24,train,actual_0,486,130
nn,binary,nn_binary,win_24,train,actual_1,52,590
nn,binary,nn_binary,win_24,val,actual_0,22,6
nn,binary,nn_binary,win_24,val,actual_1,4,32
nn,binary,nn_binary,win_24,test,actual_0,21,10
nn,binary,nn_binary,win_24,test,actual_1,13,19
nn,binary,nn_binary,win_25,train,actual_0,457,158
nn,binary,nn_binary,win_25,train,actual_1,150,493
nn,binary,nn_binary,win_25,val,actual_0,26,5
nn,binary,nn_binary,win_25,val,actual_1,4,28
nn,binary,nn_binary,win_25,test,actual_0,19,12
nn,binary,nn_binary,win_25,test,actual_1,19,12
nn,binary,nn_binary,win_26,train,actual_0,516,102
nn,binary,nn_binary,win_26,train,actual_1,120,520
nn,binary,nn_binary,win_26,val,actual_0,27,4
nn,binary,nn_binary,win_26,val,actual_1,4,27
