model_name,class_type,model_id,window_id,split,actual_label,pred_-1,pred_0,pred_1
nn,multiclass,nn_multiclass,win_01,train,actual_-1,69,147,8
nn,multiclass,nn_multiclass,win_01,train,actual_0,20,805,16
nn,multiclass,nn_multiclass,win_01,train,actual_1,8,118,67
nn,multiclass,nn_multiclass,win_01,val,actual_-1,0,5,0
nn,multiclass,nn_multiclass,win_01,val,actual_0,0,41,3
nn,multiclass,nn_multiclass,win_01,val,actual_1,0,7,7
nn,multiclass,nn_multiclass,win_01,test,actual_-1,0,13,0
nn,multiclass,nn_multiclass,win_01,test,actual_0,0,37,0
nn,multiclass,nn_multiclass,win_01,test,actual_1,0,11,0
nn,multiclass,nn_multiclass,win_02,train,actual_-1,163,50,3
nn,multiclass,nn_multiclass,win_02,train,actual_0,21,809,17
nn,multiclass,nn_multiclass,win_02,train,actual_1,5,34,156
nn,multiclass,nn_multiclass,win_02,val,actual_-1,9,4,0
nn,multiclass,nn_multiclass,win_02,val,actual_0,1,35,1
nn,multiclass,nn_multiclass,win_02,val,actual_1,0,3,8
nn,multiclass,nn_multiclass,win_02,test,actual_-1,2,2,2
nn,multiclass,nn_multiclass,win_02,test,actual_0,22,7,20
nn,multiclass,nn_multiclass,win_02,test,actual_1,6,2,2
nn,multiclass,nn_multiclass,win_03,train,actual_-1,99,67,1
nn,multiclass,nn_multiclass,win_03,train,actual_0,8,920,10
nn,multiclass,nn_multiclass,win_03,train,actual_1,1,50,101
nn,multiclass,nn_multiclass,win_03,val,actual_-1,5,1,0
nn,multiclass,nn_multiclass,win_03,val,actual_0,0,53,0
nn,multiclass,nn_multiclass,win_03,val,actual_1,1,0,5
nn,multiclass,nn_multiclass,win_03,test,actual_-1,0,1,0
nn,multiclass,nn_multiclass,win_03,test,actual_0,12,47,0
nn,multiclass,nn_multiclass,win_03,test,actual_1,1,2,1
nn,multiclass,nn_multiclass,win_04,train,actual_-1,195,102,38
nn,multiclass,nn_multiclass,win_04,train,actual_0,47,523,48
nn,multiclass,nn_multiclass,win_04,train,actual_1,23,70,212
nn,multiclass,nn_multiclass,win_04,val,actual_-1,2,4,0
nn,multiclass,nn_multiclass,win_04,val,actual_0,0,41,2
nn,multiclass,nn_multiclass,win_04,val,actual_1,0,8,7
nn,multiclass,nn_multiclass,win_04,test,actual_-1,0,9,2
nn,multiclass,nn_multiclass,win_04,test,actual_0,0,27,7
nn,multiclass,nn_multiclass,win_04,test,actual_1,0,16,2
nn,multiclass,nn_multiclass,win_05,train,actual_-1,138,74,8
nn,multiclass,nn_multiclass,win_05,train,actual_0,14,804,20
nn,multiclass,nn_multiclass,win_05,train,actual_1,4,51,145
nn,multiclass,nn_multiclass,win_05,val,actual_-1,3,2,0
nn,multiclass,nn_multiclass,win_05,val,actual_0,0,47,0
nn,multiclass,nn_multiclass,win_05,val,actual_1,0,3,8
nn,multiclass,nn_multiclass,win_05,test,actual_-1,0,6,5
nn,multiclass,nn_multiclass,win_05,test,actual_0,0,11,33
nn,multiclass,nn_multiclass,win_05,test,actual_1,1,2,3
nn,multiclass,nn_multiclass,win_06,train,actual_-1,14,143,2
nn,multiclass,nn_multiclass,win_06,train,actual_0,3,935,4
nn,multiclass,nn_multiclass,win_06,train,actual_1,4,145,8
nn,multiclass,nn_multiclass,win_06,val,actual_-1,0,9,0
nn,multiclass,nn_multiclass,win_06,val,actual_0,0,47,0
nn,multiclass,nn_multiclass,win_06,val,actual_1,1,4,0
nn,multiclass,nn_multiclass,win_06,test,actual_-1,0,11,0
nn,multiclass,nn_multiclass,win_06,test,actual_0,0,43,0
nn,multiclass,nn_multiclass,win_06,test,actual_1,0,10,0
nn,multiclass,nn_multiclass,win_07,train,actual_-1,224,76,19
nn,multiclass,nn_multiclass,win_07,train,actual_0,17,583,30
nn,multiclass,nn_multiclass,win_07,train,actual_1,16,64,228
nn,multiclass,nn_multiclass,win_07,val,actual_-1,14,3,0
nn,multiclass,nn_multiclass,win_07,val,actual_0,0,29,1
nn,multiclass,nn_multiclass,win_07,val,actual_1,0,3,14
nn,multiclass,nn_multiclass,win_07,test,actual_-1,3,10,0
nn,multiclass,nn_multiclass,win_07,test,actual_0,6,31,0
nn,multiclass,nn_multiclass,win_07,test,actual_1,1,12,1
nn,multiclass,nn_multiclass,win_08,train,actual_-1,168,119,35
nn,multiclass,nn_multiclass,win_08,train,actual_0,46,532,45
nn,multiclass,nn_multiclass,win_08,train,actual_1,18,83,211
nn,multiclass,nn_multiclass,win_08,val,actual_-1,6,5,2
nn,multiclass,nn_multiclass,win_08,val,actual_0,1,35,1
nn,multiclass,nn_multiclass,win_08,val,actual_1,2,5,7
nn,multiclass,nn_multiclass,win_08,test,actual_-1,10,4,0
nn,multiclass,nn_multiclass,win_08,test,actual_0,19,13,0
nn,multiclass,nn_multiclass,win_08,test,actual_1,9,8,0
nn,multiclass,nn_multiclass,win_09,train,actual_-1,47,160,6
nn,multiclass,nn_multiclass,win_09,train,actual_0,7,813,18
nn,multiclass,nn_multiclass,win_09,train,actual_1,6,166,34
nn,multiclass,nn_multiclass,win_09,val,actual_-1,2,5,0
nn,multiclass,nn_multiclass,win_09,val,actual_0,1,45,0
nn,multiclass,nn_multiclass,win_09,val,actual_1,0,10,0
nn,multiclass,nn_multiclass,win_09,test,actual_-1,0,7,0
nn,multiclass,nn_multiclass,win_09,test,actual_0,0,42,0
nn,multiclass,nn_multiclass,win_09,test,actual_1,0,12,0
nn,multiclass,nn_multiclass,win_10,train,actual_-1,70,125,13
nn,multiclass,nn_multiclass,win_10,train,actual_0,15,807,20
nn,multiclass,nn_multiclass,win_10,train,actual_1,10,109,90
nn,multiclass,nn_multiclass,win_10,val,actual_-1,2,5,0
nn,multiclass,nn_multiclass,win_10,val,actual_0,0,41,1
nn,multiclass,nn_multiclass,win_10,val,actual_1,0,8,4
nn,multiclass,nn_multiclass,win_10,test,actual_-1,4,9,1
nn,multiclass,nn_multiclass,win_10,test,actual_0,14,21,6
nn,multiclass,nn_multiclass,win_10,test,actual_1,3,3,3
nn,multiclass,nn_multiclass,win_11,train,actual_-1,58,233,16
nn,multiclass,nn_multiclass,win_11,train,actual_0,29,576,25
nn,multiclass,nn_multiclass,win_11,train,actual_1,21,264,37
nn,multiclass,nn_multiclass,win_11,val,actual_-1,3,13,1
nn,multiclass,nn_multiclass,win_11,val,actual_0,4,26,1
nn,multiclass,nn_multiclass,win_11,val,actual_1,2,14,0
nn,multiclass,nn_multiclass,win_11,test,actual_-1,4,9,0
nn,multiclass,nn_multiclass,win_11,test,actual_0,11,13,1
nn,multiclass,nn_multiclass,win_11,test,actual_1,9,16,1
nn,multiclass,nn_multiclass,win_12,train,actual_-1,160,70,14
nn,multiclass,nn_multiclass,win_12,train,actual_0,22,715,25
nn,multiclass,nn_multiclass,win_12,train,actual_1,6,66,181
nn,multiclass,nn_multiclass,win_12,val,actual_-1,8,3,0
nn,multiclass,nn_multiclass,win_12,val,actual_0,0,31,1
nn,multiclass,nn_multiclass,win_12,val,actual_1,0,2,19
nn,multiclass,nn_multiclass,win_12,test,actual_-1,6,18,2
nn,multiclass,nn_multiclass,win_12,test,actual_0,3,19,0
nn,multiclass,nn_multiclass,win_12,test,actual_1,2,12,0
nn,multiclass,nn_multiclass,win_13,train,actual_-1,97,152,34
nn,multiclass,nn_multiclass,win_13,train,actual_0,38,543,61
nn,multiclass,nn_multiclass,win_13,train,actual_1,36,183,115
nn,multiclass,nn_multiclass,win_13,val,actual_-1,21,3,2
nn,multiclass,nn_multiclass,win_13,val,actual_0,4,13,1
nn,multiclass,nn_multiclass,win_13,val,actual_1,7,3,8
nn,multiclass,nn_multiclass,win_13,test,actual_-1,14,0,3
nn,multiclass,nn_multiclass,win_13,test,actual_0,12,2,6
nn,multiclass,nn_multiclass,win_13,test,actual_1,14,2,8
nn,multiclass,nn_multiclass,win_14,train,actual_-1,106,82,10
nn,multiclass,nn_multiclass,win_14,train,actual_0,22,810,20
nn,multiclass,nn_multiclass,win_14,train,actual_1,14,58,136
nn,multiclass,nn_multiclass,win_14,val,actual_-1,7,2,2
nn,multiclass,nn_multiclass,win_14,val,actual_0,3,29,0
nn,multiclass,nn_multiclass,win_14,val,actual_1,0,3,15
nn,multiclass,nn_multiclass,win_14,test,actual_-1,0,9,0
nn,multiclass,nn_multiclass,win_14,test,actual_0,3,41,3
nn,multiclass,nn_multiclass,win_14,test,actual_1,0,8,0
nn,multiclass,nn_multiclass,win_15,train,actual_-1,14,182,5
nn,multiclass,nn_multiclass,win_15,train,actual_0,5,826,8
nn,multiclass,nn_multiclass,win_15,train,actual_1,6,195,17
nn,multiclass,nn_multiclass,win_15,val,actual_-1,0,9,0
nn,multiclass,nn_multiclass,win_15,val,actual_0,0,47,0
nn,multiclass,nn_multiclass,win_15,val,actual_1,0,8,0
nn,multiclass,nn_multiclass,win_15,test,actual_-1,4,6,2
nn,multiclass,nn_multiclass,win_15,test,actual_0,5,28,9
nn,multiclass,nn_multiclass,win_15,test,actual_1,0,9,1
nn,multiclass,nn_multiclass,win_16,train,actual_-1,175,88,30
nn,multiclass,nn_multiclass,win_16,train,actual_0,28,546,50
nn,multiclass,nn_multiclass,win_16,train,actual_1,34,87,220
nn,multiclass,nn_multiclass,win_16,val,actual_-1,12,4,0
