beta,alpha,information_ratio,model_name,class_type,model_id,window_id,split,strategy_name,benchmark_name
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,train,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,train,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,train,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,train,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,train,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,train,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,val,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,val,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,val,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,val,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,val,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,val,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,test,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,test,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,test,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,test,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,test,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_01,test,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,train,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,train,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,train,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,train,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,train,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,train,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,val,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,val,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,val,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,val,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,val,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,val,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,test,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,test,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,test,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,test,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,test,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_02,test,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,train,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,train,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,train,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,train,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,train,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,train,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,val,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,val,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,val,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,val,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,val,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,val,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,test,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,test,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,test,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,test,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,test,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_03,test,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,train,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,train,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,train,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,train,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,train,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,train,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,val,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,val,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,val,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,val,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,val,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,val,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,test,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,test,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,test,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,test,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,test,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_04,test,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,train,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,train,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,train,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,train,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,train,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,train,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,val,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,val,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,val,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,val,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,val,strategy_net,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,val,strategy_net,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,test,strategy_gross,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,test,strategy_gross,benchmark_mom21
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,test,strategy_gross,benchmark_random_walk
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,test,strategy_net,benchmark_nvda_minus_tsla
0.0,0.0,,logit,multiclass,logit_multiclass,win_05,test,strategy_net,benchmark_mom21
