window_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_val,n_test
win_01,2010-09-28,2015-09-27,2015-09-28,2015-12-27,2015-12-28,2016-03-27,1258,63,61
win_02,2010-12-28,2015-12-27,2015-12-28,2016-03-27,2016-03-28,2016-06-27,1258,61,65
win_03,2011-03-28,2016-03-27,2016-03-28,2016-06-27,2016-06-28,2016-09-27,1257,65,64
win_04,2011-06-28,2016-06-27,2016-06-28,2016-09-27,2016-09-28,2016-12-27,1258,64,63
win_05,2011-09-28,2016-09-27,2016-09-28,2016-12-27,2016-12-28,2017-03-27,1258,63,61
win_06,2011-12-28,2016-12-27,2016-12-28,2017-03-27,2017-03-28,2017-06-27,1258,61,64
win_07,2012-03-28,2017-03-27,2017-03-28,2017-06-27,2017-06-28,2017-09-27,1257,64,64
win_08,2012-06-28,2017-06-27,2017-06-28,2017-09-27,2017-09-28,2017-12-27,1257,64,63
win_09,2012-09-28,2017-09-27,2017-09-28,2017-12-27,2017-12-28,2018-03-27,1257,63,61
win_10,2012-12-28,2017-12-27,2017-12-28,2018-03-27,2018-03-28,2018-06-27,1259,61,64
win_11,2013-03-28,2018-03-27,2018-03-28,2018-06-27,2018-06-28,2018-09-27,1259,64,64
win_12,2013-06-28,2018-06-27,2018-06-28,2018-09-27,2018-09-28,2018-12-27,1259,64,62
win_13,2013-09-28,2018-09-27,2018-09-28,2018-12-27,2018-12-28,2019-03-27,1259,62,61
win_14,2013-12-28,2018-12-27,2018-12-28,2019-03-27,2019-03-28,2019-06-27,1258,61,64
win_15,2014-03-28,2019-03-27,2019-03-28,2019-06-27,2019-06-28,2019-09-27,1258,64,64
win_16,2014-06-28,2019-06-27,2019-06-28,2019-09-27,2019-09-28,2019-12-27,1258,64,63
win_17,2014-09-28,2019-09-27,2019-09-28,2019-12-27,2019-12-28,2020-03-27,1259,63,62
win_18,2014-12-28,2019-12-27,2019-12-28,2020-03-27,2020-03-28,2020-06-27,1259,62,63
win_19,2015-03-28,2020-03-27,2020-03-28,2020-06-27,2020-06-28,2020-09-27,1259,63,63
win_20,2015-06-28,2020-06-27,2020-06-28,2020-09-27,2020-09-28,2020-12-27,1259,63,63
win_21,2015-09-28,2020-09-27,2020-09-28,2020-12-27,2020-12-28,2021-03-27,1259,63,62
win_22,2015-12-28,2020-12-27,2020-12-28,2021-03-27,2021-03-28,2021-06-27,1259,62,63
win_23,2016-03-28,2021-03-27,2021-03-28,2021-06-27,2021-06-28,2021-09-27,1260,63,64
win_24,2016-06-28,2021-06-27,2021-06-28,2021-09-27,2021-09-28,2021-12-27,1258,64,63
win_25,2016-09-28,2021-09-27,2021-09-28,2021-12-27,2021-12-28,2022-03-27,1258,63,62
win_26,2016-12-28,2021-12-27,2021-12-28,2022-03-27,2022-03-28,2022-06-27,1258,62,63
win_27,2017-03-28,2022-03-27,2022-03-28,2022-06-27,2022-06-28,2022-09-27,1259,63,64
win_28,2017-06-28,2022-06-27,2022-06-28,2022-09-27,2022-09-28,2022-12-27,1258,64,63
win_29,2017-09-28,2022-09-27,2022-09-28,2022-12-27,2022-12-28,2023-03-27,1258,63,61
win_30,2017-12-28,2022-12-27,2022-12-28,2023-03-27,2023-03-28,2023-06-27,1258,61,63
win_31,2018-03-28,2023-03-27,2023-03-28,2023-06-27,2023-06-28,2023-09-27,1258,63,64
win_32,2018-06-28,2023-06-27,2023-06-28,2023-09-27,2023-09-28,2023-12-27,1257,64,63
win_33,2018-09-28,2023-09-27,2023-09-28,2023-12-27,2023-12-28,2024-03-27,1257,63,63
win_34,2018-12-28,2023-12-27,2023-12-28,2024-03-27,2024-03-28,2024-06-27,1258,63,63
win_35,2019-03-28,2024-03-27,2024-03-28,2024-06-27,2024-06-28,2024-09-27,1260,63,64
win_36,2019-06-28,2024-06-27,2024-06-28,2024-09-27,2024-09-28,2024-12-27,1259,64,63
win_37,2019-09-28,2024-09-27,2024-09-28,2024-12-27,2024-12-28,2025-03-27,1259,63,60
win_38,2019-12-28,2024-12-27,2024-12-28,2025-03-27,2025-03-28,2025-06-27,1259,60,63
win_39,2020-03-28,2025-03-27,2025-03-28,2025-06-27,2025-06-28,2025-09-27,1257,63,63
win_40,2020-06-28,2025-06-27,2025-06-28,2025-09-27,2025-09-28,2025-12-27,1257,63,63
